domain,method,feature,feature_group,rank,score
no_i,gain,r_std_flux,variability,7,40.26432418823242
no_i,gain,r_mean_flux,brightness,8,24.786344528198242
no_i,gain,time_span,temporal,9,21.980764389038086
no_i,gain,r_time_of_peak,temporal,10,17.815340042114258
no_i,gain,i_time_of_peak,temporal,11,7.30580472946167
no_i,gain,peak_color_r_minus_i,color,12,6.869798183441162
no_i,gain,peak_color_i_minus_z,color,13,6.827236175537109
no_i,gain,i_peak_flux,brightness,14,6.8244218826293945
no_i,gain,i_std_flux,variability,15,6.628737926483154
no_i,gain,i_amplitude,variability,16,6.570220947265625
no_i,permutation,z_peak_flux,brightness,1,0.3056939546263949
no_i,permutation,peak_color_g_minus_r,color,2,0.14580480857357664
no_i,permutation,r_std_flux,variability,3,0.1175199015830513
no_i,permutation,g_mean_flux,brightness,4,0.09969357915100774
no_i,permutation,z_std_flux,variability,5,0.09680857189416577
no_i,permutation,r_mean_flux,brightness,6,0.04556815372152141
no_i,permutation,z_time_of_peak,temporal,7,0.044042977623482193
no_i,permutation,r_peak_flux,brightness,8,0.030179590427395576
no_i,permutation,r_time_of_peak,temporal,9,0.029182918556251235
no_i,permutation,time_span,temporal,10,0.022514446865923476
no_i,permutation,i_time_of_peak,temporal,11,0.0005505870294766124
no_i,permutation,i_amplitude,variability,12,0.0001320749444542857
no_i,permutation,peak_color_r_minus_i,color,13,-0.00040744103502923237
no_i,permutation,peak_color_i_minus_z,color,14,-0.0008281884952523022
no_i,permutation,i_std_flux,variability,15,-0.0009709697151524255
no_i,permutation,i_peak_flux,brightness,16,-0.0009887230635421186
no_i,ablation,z_peak_flux,brightness,1,0.05215503792730059
no_i,ablation,g_mean_flux,brightness,2,0.02699013429190693
no_i,ablation,z_std_flux,variability,3,0.012669388632502753
no_i,ablation,time_span,temporal,4,0.01017642803222662
no_i,ablation,peak_color_g_minus_r,color,5,0.009566468598875976
no_i,ablation,z_time_of_peak,temporal,6,0.006305421730547539
no_i,ablation,r_time_of_peak,temporal,7,0.004795779158834673
no_i,ablation,r_std_flux,variability,8,0.004559540410719621
no_i,ablation,r_peak_flux,brightness,9,0.004218491577036032
no_i,ablation,i_std_flux,variability,10,0.003243476301065029
no_i,ablation,r_mean_flux,brightness,11,0.0015188213977407716
no_i,ablation,i_amplitude,variability,12,0.0005123786772144312
no_i,ablation,i_peak_flux,brightness,13,0.0001799555673344111
no_i,ablation,peak_color_i_minus_z,color,14,0.0001522839487998362
no_i,ablation,peak_color_r_minus_i,color,15,0.0
no_i,ablation,i_time_of_peak,temporal,16,0.0
short_span,gain,i_std_flux,variability,1,136.445556640625
short_span,gain,peak_color_r_minus_i,color,2,71.58209991455078
short_span,gain,peak_color_g_minus_r,color,3,58.51387023925781
short_span,gain,z_std_flux,variability,4,48.733009338378906
short_span,gain,z_peak_flux,brightness,5,47.92529296875
short_span,gain,g_mean_flux,brightness,6,37.580448150634766
short_span,gain,r_std_flux,variability,7,32.916683197021484
short_span,gain,i_peak_flux,brightness,8,32.741722106933594
short_span,gain,r_peak_flux,brightness,9,28.547779083251953
short_span,gain,peak_color_i_minus_z,color,10,28.12010383605957
short_span,gain,z_time_of_peak,temporal,11,27.035106658935547
short_span,gain,r_mean_flux,brightness,12,20.494487762451172
short_span,gain,i_time_of_peak,temporal,13,16.698129653930664
short_span,gain,time_span,temporal,14,15.87149715423584
short_span,gain,r_time_of_peak,temporal,15,12.84113597869873
short_span,gain,i_amplitude,variability,16,10.662866592407227
short_span,permutation,peak_color_r_minus_i,color,1,0.1483870030985714
short_span,permutation,peak_color_g_minus_r,color,2,0.1344863146328026
short_span,permutation,peak_color_i_minus_z,color,3,0.08252950705556863
short_span,permutation,z_peak_flux,brightness,4,0.07530599490077053
short_span,permutation,z_std_flux,variability,5,0.04833119061102888
short_span,permutation,g_mean_flux,brightness,6,0.04689920625428397
short_span,permutation,i_std_flux,variability,7,0.03746067608185803
short_span,permutation,r_mean_flux,brightness,8,0.036322288830837435
short_span,permutation,r_std_flux,variability,9,0.025883078589234287
short_span,permutation,i_peak_flux,brightness,10,0.016165881515936585
short_span,permutation,z_time_of_peak,temporal,11,0.014562189826767958
short_span,permutation,i_time_of_peak,temporal,12,0.013275532496704812
short_span,permutation,time_span,temporal,13,0.00891847399613901
short_span,permutation,r_time_of_peak,temporal,14,0.0077369961993288385
short_span,permutation,i_amplitude,variability,15,0.0017337465824037723
short_span,permutation,r_peak_flux,brightness,16,0.0002836307487367851
short_span,ablation,peak_color_g_minus_r,color,1,0.017343047484878322
short_span,ablation,peak_color_r_minus_i,color,2,0.01568954772568562
short_span,ablation,peak_color_i_minus_z,color,3,0.014041881178025356
short_span,ablation,z_peak_flux,brightness,4,0.008786974171448391
short_span,ablation,r_mean_flux,brightness,5,0.008586880208405662
short_span,ablation,g_mean_flux,brightness,6,0.007633017767297928
short_span,ablation,time_span,temporal,7,0.005268009227033965
short_span,ablation,r_time_of_peak,temporal,8,0.0033762902942177653
short_span,ablation,z_std_flux,variability,9,0.0032286834043162237
short_span,ablation,r_std_flux,variability,10,0.0025041546572974692
short_span,ablation,i_amplitude,variability,11,0.0020585011252467087
short_span,ablation,r_peak_flux,brightness,12,0.0008255392137064277
short_span,ablation,i_peak_flux,brightness,13,0.0006058542488346752
short_span,ablation,z_time_of_peak,temporal,14,0.00034107987273644387
short_span,ablation,i_std_flux,variability,15,0.0003407077330748465
short_span,ablation,i_time_of_peak,temporal,16,0.0
flux_scale,gain,i_std_flux,variability,1,115.47920227050781
flux_scale,gain,peak_color_r_minus_i,color,2,73.0929183959961
flux_scale,gain,z_std_flux,variability,3,62.97608184814453
flux_scale,gain,peak_color_g_minus_r,color,4,56.621219635009766
flux_scale,gain,g_mean_flux,brightness,5,35.464744567871094
flux_scale,gain,r_std_flux,variability,6,33.58915710449219
flux_scale,gain,peak_color_i_minus_z,color,7,27.225954055786133
flux_scale,gain,z_time_of_peak,temporal,8,21.664342880249023
flux_scale,gain,time_span,temporal,9,20.32954978942871
flux_scale,gain,i_amplitude,variability,10,19.50901985168457
flux_scale,gain,z_peak_flux,brightness,11,17.451234817504883
flux_scale,gain,i_time_of_peak,temporal,12,14.484261512756348
flux_scale,gain,r_time_of_peak,temporal,13,13.066397666931152
flux_scale,gain,r_mean_flux,brightness,14,13.041505813598633
flux_scale,gain,r_peak_flux,brightness,15,12.110998153686523
flux_scale,gain,i_peak_flux,brightness,16,10.338299751281738
flux_scale,permutation,peak_color_r_minus_i,color,1,0.180992051766265
flux_scale,permutation,peak_color_g_minus_r,color,2,0.1496844560253279
flux_scale,permutation,z_std_flux,variability,3,0.1031975411628739
flux_scale,permutation,peak_color_i_minus_z,color,4,0.08914614111656012
flux_scale,permutation,i_std_flux,variability,5,0.05548440824982639
flux_scale,permutation,g_mean_flux,brightness,6,0.043618076647216376
flux_scale,permutation,r_mean_flux,brightness,7,0.02902839615978663
flux_scale,permutation,r_std_flux,variability,8,0.026793059972172607
flux_scale,permutation,z_time_of_peak,temporal,9,0.017167297368465916
flux_scale,permutation,i_time_of_peak,temporal,10,0.013667419505433043
flux_scale,permutation,time_span,temporal,11,0.0110258284050738
flux_scale,permutation,r_time_of_peak,temporal,12,0.008984619559655438
flux_scale,permutation,z_peak_flux,brightness,13,0.007506753310760517
flux_scale,permutation,i_amplitude,variability,14,0.0020246574212121615
flux_scale,permutation,i_peak_flux,brightness,15,0.000515519965838318
flux_scale,permutation,r_peak_flux,brightness,16,-0.0007459386918979183
flux_scale,ablation,peak_color_r_minus_i,color,1,0.029465863824399682
flux_scale,ablation,peak_color_g_minus_r,color,2,0.019705467679386766
flux_scale,ablation,peak_color_i_minus_z,color,3,0.012965502652139992
flux_scale,ablation,z_std_flux,variability,4,0.007083060252581097
flux_scale,ablation,g_mean_flux,brightness,5,0.004045076783474899
flux_scale,ablation,r_std_flux,variability,6,0.0036736007275118667
flux_scale,ablation,r_time_of_peak,temporal,7,0.002417754323709981
flux_scale,ablation,i_amplitude,variability,8,0.0011018263628033264
flux_scale,ablation,z_time_of_peak,temporal,9,0.0010758633372327797
flux_scale,ablation,time_span,temporal,10,0.000816728143198786
flux_scale,ablation,z_peak_flux,brightness,11,0.000721522320250395
flux_scale,ablation,i_time_of_peak,temporal,12,0.0007017007039044121
flux_scale,ablation,i_std_flux,variability,13,0.00043499964360905195
flux_scale,ablation,r_mean_flux,brightness,14,0.0002162420527489217
flux_scale,ablation,r_peak_flux,brightness,15,2.5105866709601574e-05
flux_scale,ablation,i_peak_flux,brightness,16,0.0
plasticc_train,gain,time_span,temporal,1,28.121278762817383
plasticc_train,gain,r_time_of_peak,temporal,2,15.905657768249512
plasticc_train,gain,peak_color_g_minus_r,color,3,10.725543022155762
plasticc_train,gain,z_time_of_peak,temporal,4,10.587597846984863
plasticc_train,gain,peak_color_i_minus_z,color,5,10.037980079650879
plasticc_train,gain,z_peak_flux,brightness,6,9.686623573303223
plasticc_train,gain,peak_color_r_minus_i,color,7,9.683405876159668
plasticc_train,gain,r_mean_flux,brightness,8,9.129129409790039
plasticc_train,gain,g_mean_flux,brightness,9,8.869181632995605
plasticc_train,gain,i_time_of_peak,temporal,10,8.516940116882324
plasticc_train,gain,r_std_flux,variability,11,8.494811058044434
plasticc_train,gain,z_std_flux,variability,12,7.8854851722717285
plasticc_train,gain,i_std_flux,variability,13,7.681794166564941
plasticc_train,gain,i_peak_flux,brightness,14,7.530323028564453
plasticc_train,gain,r_peak_flux,brightness,15,6.704318046569824
plasticc_train,gain,i_amplitude,variability,16,6.539338111877441
plasticc_train,permutation,time_span,temporal,1,0.11270843931340249
plasticc_train,permutation,peak_color_g_minus_r,color,2,0.0611638718663496
plasticc_train,permutation,r_mean_flux,brightness,3,0.060933640422577054
plasticc_train,permutation,peak_color_i_minus_z,color,4,0.056348601254376705
plasticc_train,permutation,peak_color_r_minus_i,color,5,0.04667562259863178
plasticc_train,permutation,z_time_of_peak,temporal,6,0.045780159325443395
plasticc_train,permutation,z_peak_flux,brightness,7,0.04386729662260325
plasticc_train,permutation,g_mean_flux,brightness,8,0.03213011188932384
plasticc_train,permutation,r_std_flux,variability,9,0.030638636714297052
plasticc_train,permutation,i_std_flux,variability,10,0.02867074300560053
plasticc_train,permutation,r_time_of_peak,temporal,11,0.018707801125321333
plasticc_train,permutation,z_std_flux,variability,12,0.018408041596602365
plasticc_train,permutation,i_time_of_peak,temporal,13,0.017438183092164584
plasticc_train,permutation,r_peak_flux,brightness,14,0.011925589902254296
plasticc_train,permutation,i_peak_flux,brightness,15,0.008126185086934213
plasticc_train,permutation,i_amplitude,variability,16,0.006931820465812755
plasticc_train,ablation,peak_color_g_minus_r,color,1,0.01964922744072012
plasticc_train,ablation,peak_color_r_minus_i,color,2,0.01932823553350152
plasticc_train,ablation,g_mean_flux,brightness,3,0.017277025214773055
plasticc_train,ablation,peak_color_i_minus_z,color,4,0.01485103319510574
plasticc_train,ablation,r_time_of_peak,temporal,5,0.014362793846935062
plasticc_train,ablation,r_peak_flux,brightness,6,0.013515415212739912
plasticc_train,ablation,z_time_of_peak,temporal,7,0.01329701946745065
plasticc_train,ablation,i_peak_flux,brightness,8,0.013221360528010994
plasticc_train,ablation,z_std_flux,variability,9,0.011520537644266943
plasticc_train,ablation,i_std_flux,variability,10,0.0104403632925536
plasticc_train,ablation,r_std_flux,variability,11,0.010117389015551186
plasticc_train,ablation,i_time_of_peak,temporal,12,0.01005439415171136
plasticc_train,ablation,r_mean_flux,brightness,13,0.008528790793863483
plasticc_train,ablation,z_peak_flux,brightness,14,0.00757296346664571
plasticc_train,ablation,i_amplitude,variability,15,0.005024451569942567
plasticc_train,ablation,time_span,temporal,16,0.00031678641490689996
plasticc,gain,time_span,temporal,1,28.121278762817383
plasticc,gain,r_time_of_peak,temporal,2,15.905657768249512
plasticc,gain,peak_color_g_minus_r,color,3,10.725543022155762
plasticc,gain,z_time_of_peak,temporal,4,10.587597846984863
plasticc,gain,peak_color_i_minus_z,color,5,10.037980079650879
plasticc,gain,z_peak_flux,brightness,6,9.686623573303223
plasticc,gain,peak_color_r_minus_i,color,7,9.683405876159668
plasticc,gain,r_mean_flux,brightness,8,9.129129409790039
plasticc,gain,g_mean_flux,brightness,9,8.869181632995605
