train_domain,test_domain,feature_count,f1,pr_auc,roc_auc,delta_f1,delta_pr_auc,delta_roc_auc
spcc_plus_no_z,no_i,16,0.5184243964421855,0.6810904914828491,0.8924948137201967,-0.32580552895781445,-0.24667038951715092,-0.08409357007980334
spcc_plus_no_z,short_span,16,0.8179104477611939,0.9006014007890288,0.9697907594125162,-0.026319477638806044,-0.027159480210971143,-0.006797624387483769
spcc_plus_no_z,flux_scale,16,0.7709815078236131,0.8360664175190423,0.9461432596787395,-0.07324841757638689,-0.09169446348095767,-0.030445124121260547
spcc_plus_no_z,plasticc_train,16,0.519280205655527,0.5389385497241881,0.6960984930198157,-0.32494971974447295,-0.3888223312758119,-0.28048989078018427
spcc_plus_no_z,plasticc,16,0.519280205655527,0.5389385497241881,0.6960984930198157,-0.32494971974447295,-0.3888223312758119,-0.28048989078018427
spcc_plus_no_i,spcc,16,0.8273127753303965,0.9080713411827036,0.9725229443891525,-0.01691715006960348,-0.019689539817296375,-0.004065439410847471
spcc_plus_no_i,noise,16,0.8159645232815964,0.8934353753533874,0.9673330733036891,-0.02826540211840356,-0.03432550564661263,-0.009255310496310898
spcc_plus_no_i,no_z,16,0.5865178188063546,0.59263631440848,0.8574170437252651,-0.2577121065936454,-0.33512456659152,-0.11917134007473495
spcc_plus_no_i,no_i,16,0.7935973041280538,0.8539207566229017,0.9551074121252302,-0.05063262127194612,-0.0738401243770983,-0.02148097167476981
spcc_plus_no_i,short_span,16,0.8086003372681281,0.899261907721366,0.9691237177951776,-0.03562958813187189,-0.028498973278633932,-0.007464666004822429
spcc_plus_no_i,flux_scale,16,0.7503663898387885,0.8123051233458096,0.9320276472511546,-0.09386353556121152,-0.11545575765419036,-0.0445607365488454
spcc_plus_no_i,plasticc_train,16,0.5487465181058496,0.5702949310513439,0.7213042004376098,-0.29548340729415035,-0.3574659499486561,-0.2552841833623902
spcc_plus_no_i,plasticc,16,0.5487465181058496,0.5702949310513439,0.7213042004376098,-0.29548340729415035,-0.3574659499486561,-0.2552841833623902
spcc_plus_short_span,spcc,16,0.836102379883251,0.9106600898065417,0.9728096223876155,-0.00812754551674899,-0.01710079119345831,-0.0037787614123845348
spcc_plus_short_span,noise,16,0.8298829882988299,0.9026687943333627,0.9699965554920228,-0.014346937101170076,-0.025092086666637314,-0.006591828307977221
spcc_plus_short_span,no_z,16,0.6716141001855288,0.6799936948755582,0.9068113818035669,-0.17261582521447116,-0.24776718612444182,-0.06977700199643311
spcc_plus_short_span,no_i,16,0.6192419825072886,0.7257623753981429,0.9116956816237841,-0.2249879428927114,-0.20199850560185706,-0.0648927021762159
spcc_plus_short_span,short_span,16,0.8296101620674551,0.910437769919162,0.9726235002883956,-0.014619763332544888,-0.01732311108083795,-0.0039648835116044
spcc_plus_short_span,flux_scale,16,0.7607726597325409,0.8309634338986256,0.941168553234824,-0.08345726566745904,-0.09679744710137439,-0.03541983056517606
spcc_plus_short_span,plasticc_train,16,0.5098039215686275,0.5067980283519895,0.681321458288391,-0.33442600383137244,-0.4209628526480105,-0.29526692551160905
spcc_plus_short_span,plasticc,16,0.5098039215686275,0.5067980283519895,0.681321458288391,-0.33442600383137244,-0.4209628526480105,-0.29526692551160905
spcc_plus_flux_scale,spcc,16,0.8285588364918466,0.9115166175252654,0.9726628482489689,-0.015671088908153386,-0.01624426347473462,-0.003925535551031145
spcc_plus_flux_scale,noise,16,0.8207837956847204,0.9023427301485518,0.9692405125352922,-0.023446129715279596,-0.025418150851448162,-0.007347871264707817
spcc_plus_flux_scale,no_z,16,0.6957279860505667,0.6828289046289164,0.9087577005676412,-0.14850193934943323,-0.24493197637108355,-0.06783068323235886
spcc_plus_flux_scale,no_i,16,0.6347971095052807,0.7148651094550236,0.8984554051762554,-0.2094328158947193,-0.2128957715449764,-0.07813297862374458
spcc_plus_flux_scale,short_span,16,0.8040370058873001,0.8974186813360545,0.968819864099639,-0.040192919512699876,-0.03034219966394547,-0.007768519700360965
spcc_plus_flux_scale,flux_scale,16,0.82688028482421,0.9001459933651983,0.9693950938089732,-0.017349640575789915,-0.027614887634801688,-0.007193289991026863
spcc_plus_flux_scale,plasticc_train,16,0.5293350717079531,0.5354997700377091,0.6995469814169928,-0.31489485369204684,-0.3922611109622909,-0.27704140238300723
spcc_plus_flux_scale,plasticc,16,0.5293350717079531,0.5354997700377091,0.6995469814169928,-0.31489485369204684,-0.3922611109622909,-0.27704140238300723
spcc_plus_plasticc,spcc,16,0.8198275862068966,0.894418129248533,0.9692411371060949,-0.024402339193103417,-0.03334275175146695,-0.007347246693905074
spcc_plus_plasticc,noise,16,0.8065630397236615,0.890550667943258,0.9668749506198709,-0.03766688567633847,-0.03721021305674199,-0.009713433180129072
spcc_plus_plasticc,no_z,16,0.7365368682684341,0.697442247161618,0.9204246831630389,-0.10769305713156585,-0.23031863383838203,-0.05616370063696108
spcc_plus_plasticc,no_i,16,0.6307956496851747,0.7149640777760878,0.9085016265385131,-0.21343427571482532,-0.21279680322391215,-0.06808675726148694
spcc_plus_plasticc,short_span,16,0.798507462686567,0.8808007592579635,0.966667280827956,-0.04572246271343294,-0.046960121742036454,-0.00992110297204396
spcc_plus_plasticc,flux_scale,16,0.767073722297603,0.8197925331046634,0.9424579796571044,-0.07715620310239701,-0.1079683478953366,-0.03413040414289559
spcc_plus_plasticc,plasticc_train,16,0.7076566125290022,0.7504262245955873,0.8826342876513914,-0.13657331287099772,-0.1773346564044127,-0.09395409614860861
spcc_plus_plasticc,plasticc,16,0.7076566125290022,0.7504262245955873,0.8826342876513914,-0.13657331287099772,-0.1773346564044127,-0.09395409614860861
